ID,Name,Type,Bac Strain,Lab,Start Date,Active,Metadata Complete,Experiment Complete,Experiment Validated
50004840,PS_071522_NA,manual_lifespan,OP50-1,Phillips,2022-07-15,0,1,0,0
50004860,PS_062422_CMD,manual_lifespan,OP50-1,Phillips,2022-06-24,0,1,0,0
50004900,PS_061022,manual_lifespan,OP50-1,Phillips,2022-06-10,0,1,0,0
50004940,PS_071522_CMD,manual_lifespan,OP50-1,Phillips,2022-07-15,0,1,0,0
50004960,PS_081222,manual_lifespan,OP50-1,Phillips,2022-08-12,0,1,0,0
50004980,PS_072922,manual_lifespan,OP50-1,Phillips,2022-07-29,0,1,1,1
50005000,PS_081922,manual_lifespan,OP50-1,Phillips,2022-08-19,0,1,0,0
50005020,PS_082622,manual_lifespan,OP50-1,Phillips,2022-08-26,0,1,1,1
50005040,PS_080522,manual_lifespan,OP50-1,Phillips,2022-08-05,0,1,1,1
50005060,PS_082922_MNA,manual_lifespan,OP50-1,Phillips,2022-08-29,0,1,1,1
50005080,PS_090922,manual_lifespan,OP50-1,Phillips,2022-09-09,0,1,1,1
50005200,LS_061022,manual_lifespan,OP50-1,Lithgow,2022-06-10,0,1,0,0
50005220,PS_090522_MNA,manual_lifespan,OP50-1,Phillips,2022-09-05,0,1,1,1
50005240,LS_061322,manual_lifespan,OP50-1,Lithgow,2022-06-13,0,1,0,0
50005260,LS_061622,manual_lifespan,OP50-1,Lithgow,2022-06-16,0,1,0,0
50005280,LS_070122,manual_lifespan,OP50-1,Lithgow,2022-07-01,0,1,0,0
50005300,LS_070822,manual_lifespan,OP50-1,Lithgow,2022-07-08,0,1,0,0
50005320,LS_071822,manual_lifespan,OP50-1,Lithgow,2022-07-18,0,1,0,0
50005360,LS_091622,manual_lifespan,OP50-1,Lithgow,2022-09-16,0,1,0,0
50005400,LS_082722,manual_lifespan,OP50-1,Lithgow,2022-08-27,0,1,0,0
50005420,LS_082722_2,manual_lifespan,OP50-1,Lithgow,2022-08-27,0,1,0,0
50005460,LS_072222,manual_lifespan,OP50-1,Lithgow,2022-07-22,0,1,0,0
50005500,LS_072222_01,manual_lifespan,OP50-1,Lithgow,2022-07-22,0,1,0,0
50005520,LS_072222_02,manual_lifespan,OP50-1,Lithgow,2022-07-22,0,1,0,0
50005540,LS_090222,manual_lifespan,OP50-1,Lithgow,2022-09-02,0,1,0,0
